word,score
aaaaaaah,0.606
aaaah,0.636
aardvark,0.49
aback,0.40700000000000003
abacus,0.276
abalone,0.48
abandon,0.519
abandoned,0.48100000000000004
abandonment,0.43
abashed,0.644
abate,0.696
abatement,0.33799999999999997
abba,0.5
abbey,0.36700000000000005
abbot,0.321
abbreviate,0.375
abbreviation,0.306
abdomen,0.462
abdominal,0.456
abduct,0.72
abduction,0.99
aberrant,0.765
aberration,0.816
abeyance,0.51
abhor,0.602
abhorrence,0.684
abhorrent,0.75
abide,0.354
abiding,0.327
ability,0.51
abject,0.59
ablation,0.5
ablaze,0.847
able,0.5
abnormal,0.604
abnormality,0.655
aboard,0.284
abode,0.302
abolish,0.615
abolition,0.69
abominable,0.731
abominate,0.7879999999999999
abomination,0.755
aboriginal,0.42700000000000005
abort,0.6859999999999999
abortion,0.77
abortive,0.7759999999999999
abound,0.49
abovementioned,0.298
abracadabra,0.632
abrasion,0.5920000000000001
abrasive,0.61
abreast,0.38
abroad,0.596
abrogate,0.51
abrupt,0.8190000000000001
abruptly,0.8079999999999999
abscess,0.451
absence,0.235
absent,0.221
absentee,0.33
absenteeism,0.273
absinthe,0.51
absolute,0.51
absolution,0.5
absolve,0.449
absorb,0.5579999999999999
absorbed,0.47100000000000003
absorbent,0.39399999999999996
absorbing,0.49
absorption,0.42200000000000004
abstain,0.385
abstention,0.264
abstinence,0.392
abstract,0.292
abstraction,0.439
absurd,0.6559999999999999
absurdity,0.528
abundance,0.69
abundant,0.59
abuse,0.873
abused,0.8740000000000001
abusive,0.903
abutment,0.265
aby,0.452
abysmal,0.71
abyss,0.725
academic,0.42
academy,0.473
accede,0.51
accelerant,0.8440000000000001
accelerate,0.902
accelerated,0.812
acceleration,0.905
accelerator,0.83
accent,0.35700000000000004
accentuate,0.556
accept,0.28600000000000003
acceptable,0.28600000000000003
acceptance,0.287
acceptances,0.413
access,0.47200000000000003
accessible,0.41
accession,0.38299999999999995
accessory,0.292
accident,0.9079999999999999
accidental,0.784
accidentally,0.741
acclaim,0.809
accolade,0.591
accommodate,0.375
accommodation,0.415
accompaniment,0.479
accompany,0.406
accompanying,0.46
accomplice,0.58
accomplish,0.6729999999999999
accomplished,0.52
accomplishment,0.6940000000000001
accord,0.264
accordance,0.349
accordion,0.49
account,0.34700000000000003
accountability,0.537
accountable,0.282
accountant,0.45
accounting,0.39
accounts,0.34
accredited,0.479
accretion,0.519
accrue,0.48100000000000004
accueil,0.451
accumulate,0.536
accumulation,0.527
accuracy,0.48100000000000004
accurate,0.36
accursed,0.745
accusation,0.718
accusative,0.755
accuse,0.752
accused,0.67
accuser,0.779
accusing,0.745
accustomed,0.365
ace,0.48100000000000004
acetic,0.42
acetylene,0.469
ache,0.76
achieve,0.545
achieved,0.519
achievement,0.8079999999999999
aching,0.88
achy,0.84
acid,0.642
acidity,0.6629999999999999
acknowledge,0.37
acknowledged,0.44299999999999995
acknowledgement,0.539
acknowledgment,0.528
acme,0.435
acne,0.474
acorn,0.198
acoustic,0.462
acoustics,0.33
acquaint,0.491
acquaintance,0.29
acquainted,0.358
acquiescence,0.48
acquire,0.46799999999999997
acquiring,0.51
acquisition,0.509
acquisitions,0.66
acquit,0.5710000000000001
acquittal,0.49700000000000005
acre,0.387
acreage,0.45
acres,0.363
acrobat,0.828
acrylic,0.27899999999999997
act,0.7040000000000001
acting,0.643
action,0.898
action figure,0.774
actionable,0.7020000000000001
activate,0.65
activation,0.8
active,0.73
activist,0.653
activity,0.66
actor,0.561
actress,0.556
actual,0.4
actuality,0.46399999999999997
actuary,0.40399999999999997
acuity,0.37799999999999995
acumen,0.66
acupuncture,0.324
acute,0.652
acutely,0.5429999999999999
ad,0.705
adage,0.415
adamant,0.529
adapt,0.355
adaptable,0.423
adaptation,0.365
add,0.49
added,0.405
addendum,0.37
adder,0.461
addict,0.696
addicted,0.7120000000000001
addiction,0.8059999999999999
addictive,0.6829999999999999
addition,0.373
additional,0.462
additive,0.633
address,0.327
addressee,0.382
addresses,0.354
adept,0.539
adequacy,0.435
adequate,0.264
adhere,0.33899999999999997
adherence,0.307
adherent,0.385
adhering,0.561
adhesion,0.445
adhesive,0.35
adieu,0.47100000000000003
adipose,0.35
adjacency,0.41700000000000004
adjacent,0.276
adjective,0.316
adjoining,0.4
adjourn,0.456
adjournment,0.51
adjudicate,0.52
adjudication,0.462
adjunct,0.44
adjust,0.327
adjuster,0.54
adjustment,0.52
adjuvant,0.5
admin,0.42
administer,0.425
administration,0.40399999999999997
administrative,0.415
administrator,0.48
admirable,0.6
admiral,0.49
admiralty,0.547
admiration,0.583
admire,0.6920000000000001
admired,0.56
admirer,0.72
admiring,0.578
admissibility,0.58
admissible,0.528
admission,0.415
admit,0.423
admittance,0.451
admitted,0.49
admitting,0.5
admixture,0.375
admonition,0.606
ado,0.423
adobe,0.319
adolescence,0.6940000000000001
adolescent,0.68
adopt,0.612
adoption,0.5660000000000001
adoptive,0.469
adorable,0.519
adoration,0.6990000000000001
adore,0.43799999999999994
adoring,0.62
adorn,0.424
adornment,0.373
adrenalin,0.92
adrenaline,0.965
adrift,0.486
adult,0.491
adulterated,0.865
adulterer,0.8140000000000001
adultery,0.922
adulthood,0.45399999999999996
advance,0.47200000000000003
advanced,0.623
advancement,0.65
advancing,0.608
advantage,0.5479999999999999
advantageous,0.64
advent,0.56
adventure,0.857
adventurer,0.8390000000000001
adventures,0.764
adventurous,0.898
adversary,0.777
adverse,0.61
adversity,0.76
advertise,0.529
advertisement,0.5660000000000001
advertising,0.608
adverts,0.5
advice,0.408
advisable,0.48
advise,0.39299999999999996
advised,0.33
advisement,0.235
adviser,0.36200000000000004
advisor,0.35
advisory,0.429
advocacy,0.6459999999999999
advocate,0.53
aegis,0.439
aeration,0.5
aerial,0.461
aerobics,0.7709999999999999
aerodrome,0.74
aerodynamic,0.7240000000000001
aerodynamics,0.6629999999999999
aeronautics,0.633
aeroplane,0.642
aerospace,0.52
aesthetic,0.442
aesthetics,0.327
aetiology,0.39799999999999996
afar,0.373
affable,0.38
affair,0.45899999999999996
affect,0.569
affecting,0.574
affection,0.5589999999999999
affectionate,0.42200000000000004
affections,0.547
affiche,0.265
affidavit,0.584
affiliated,0.519
affiliation,0.594
affinity,0.5
affirm,0.509
affirmation,0.5
affirmative,0.589
affirmatively,0.5
affix,0.335
afflict,0.555
afflicted,0.5
affliction,0.635
affluence,0.618
affluent,0.38799999999999996
afford,0.58
affordable,0.39799999999999996
affront,0.74
affronted,0.75
afield,0.37
afire,0.904
afloat,0.42700000000000005
afore,0.337
aforementioned,0.316
aforesaid,0.358
afraid,0.775
afresh,0.521
aft,0.41700000000000004
afterlife,0.5670000000000001
aftermath,0.449
afternoon,0.38799999999999996
aftershave,0.384
aftertaste,0.36200000000000004
afterthought,0.392
aga,0.327
agape,0.529
agate,0.377
age,0.226
aged,0.365
agency,0.29600000000000004
agenda,0.29600000000000004
agent,0.439
agglomeration,0.765
aggravate,0.77
aggravated,0.76
aggravates,0.778
aggravating,0.794
aggravation,0.784
aggregate,0.37799999999999995
aggregation,0.517
aggresive,0.971
aggression,0.929
aggressive,0.9490000000000001
aggressively,0.9259999999999999
aggressiveness,0.9129999999999999
aggressor,0.948
agh,0.5
aghast,0.865
aghhh,0.635
agile,0.657
agility,0.7020000000000001
aging,0.255
agitate,0.7959999999999999
agitated,0.882
agitation,0.9309999999999999
aglow,0.51
agnostic,0.396
ago,0.28
agonizing,0.8
agony,0.775
agoraphobia,0.7120000000000001
agree,0.26
agreeable,0.5
agreed,0.449
agreeing,0.48
agreement,0.44
agressive,0.9179999999999999
agricultural,0.321
agriculture,0.35700000000000004
aground,0.34
agua,0.18
ahead,0.52
ahhh,0.517
ahhhhhhhh,0.649
