word,score
hate,1.0
despise,1.0
vindictive,1.0
infuriate,1.0
sexist,1.0
kill,1.0
hating,1.0
hate,1.0
envy,1.0
unkind,1.0
hated,1.0
degrading,1.0
unhappy,1.0
betray,1.0
disgust,1.0
dislike,1.0
insensitive,1.0
worse,1.0
disrespectful,1.0
taunt,1.0
resent,1.0
loath,1.0
suffering,1.0
belittle,1.0
awful,1.0
nasty,1.0
rant,1.0
mistrust,1.0
idiotic,1.0
ignore,1.0
bad,1.0
selfishness,1.0
miserable,1.0
loathing,1.0
horrid,1.0
seriously,1.0
horrible,1.0
scorn,1.0
bully,1.0
pathetic,1.0
blame,1.0
scum,1.0
detest,1.0
frustrate,1.0
disrespect,1.0
ashamed,1.0
ridicule,1.0
despicable,1.0
repulsive,1.0
hatred,1.0
betrayed,1.0
emotion,1.0
resentment,1.0
accusation,1.0
distrust,1.0
unhappiness,1.0
worthless,1.0
despised,1.0
humiliation,1.0
angry,1.0
racism,1.0
irritate,1.0
insult,1.0
spat,1.0
hurtful,1.0
betrayal,1.0
cruelty,1.0
degrade,1.0
hateful,1.0
negativity,1.0
humiliate,1.0
terrible,1.0
rejection,1.0
rage,1.0
cruel,1.0
guilt,1.0
unfairness,1.0
venomous,1.0
feeling,1.0
frustrating,1.0
vengeful,1.0
disgusting,1.0
heartless,1.0
anger,1.0
annoying,1.0
loathe,1.0
selfish,1.0
jealously,1.0
discriminate,1.0
harsh,1.0
meanness,1.0
contempt,1.0
rude,1.0
bullying,1.0
mad,1.0
jealous,1.0
animosity,1.0
murderous,1.0
hypocrite,1.0
unreasonable,1.0
judgmental,1.0
offend,1.0
hate,1.0
despise,1.0
vindictive,1.0
infuriate,1.0
sexist,1.0
kill,1.0
hating,1.0
hate,1.0
envy,1.0
unkind,1.0
hated,1.0
degrading,1.0
unhappy,1.0
betray,1.0
disgust,1.0
dislike,1.0
insensitive,1.0
worse,1.0
disrespectful,1.0
taunt,1.0
resent,1.0
loath,1.0
suffering,1.0
belittle,1.0
awful,1.0
nasty,1.0
rant,1.0
mistrust,1.0
idiotic,1.0
ignore,1.0
bad,1.0
selfishness,1.0
miserable,1.0
