word,score
aaaaaaah,0.479
aaaah,0.52
aardvark,0.42700000000000005
aback,0.385
abacus,0.51
abalone,0.5
abandon,0.052000000000000005
abandoned,0.046
abandonment,0.128
abashed,0.177
abate,0.255
abatement,0.38799999999999996
abba,0.562
abbey,0.58
abbot,0.42700000000000005
abbreviate,0.531
abbreviation,0.469
abdomen,0.469
abdominal,0.49
abduct,0.17300000000000001
abduction,0.062
aberrant,0.146
aberration,0.125
abeyance,0.33
abhor,0.125
abhorrence,0.16699999999999998
abhorrent,0.22899999999999998
abide,0.635
abiding,0.7959999999999999
ability,0.875
abject,0.354
ablation,0.418
ablaze,0.24
able,0.7859999999999999
abnormal,0.13699999999999998
abnormality,0.092
aboard,0.698
abode,0.62
abolish,0.44799999999999995
abolition,0.32299999999999995
abominable,0.12
abominate,0.198
abomination,0.078
aboriginal,0.44799999999999995
abort,0.153
abortion,0.08199999999999999
abortive,0.09
abound,0.7040000000000001
abovementioned,0.541
abracadabra,0.6729999999999999
abrasion,0.406
abrasive,0.392
abreast,0.635
abroad,0.677
abrogate,0.327
abrupt,0.271
abruptly,0.25
abscess,0.154
absence,0.153
absent,0.177
absentee,0.235
absenteeism,0.40399999999999997
absinthe,0.48100000000000004
absolute,0.526
absolution,0.715
absolve,0.684
absorb,0.469
absorbed,0.49
absorbent,0.552
absorbing,0.49
absorption,0.609
abstain,0.385
abstention,0.271
abstinence,0.26
abstract,0.43799999999999994
abstraction,0.469
absurd,0.188
absurdity,0.115
abundance,0.812
abundant,0.958
abuse,0.071
abused,0.021
abusive,0.125
abutment,0.5
aby,0.385
abysmal,0.25
abyss,0.353
academic,0.7809999999999999
academy,0.7040000000000001
accede,0.698
accelerant,0.643
accelerate,0.615
accelerated,0.61
acceleration,0.7040000000000001
accelerator,0.593
accent,0.598
accentuate,0.6729999999999999
accept,0.847
acceptable,0.812
acceptance,0.833
acceptances,0.847
access,0.7140000000000001
accessible,0.7959999999999999
accession,0.612
accessory,0.562
accident,0.125
accidental,0.319
accidentally,0.33299999999999996
acclaim,0.562
accolade,0.688
accommodate,0.8440000000000001
accommodation,0.8170000000000001
accompaniment,0.74
accompany,0.833
accompanying,0.787
accomplice,0.408
accomplish,0.929
accomplished,0.87
accomplishment,0.917
accord,0.898
accordance,0.659
accordion,0.604
account,0.531
accountability,0.755
accountable,0.7090000000000001
accountant,0.625
accounting,0.552
accounts,0.5920000000000001
accredited,0.669
accretion,0.44799999999999995
accrue,0.52
accueil,0.45
accumulate,0.573
accumulation,0.479
accuracy,0.604
accurate,0.743
accursed,0.135
accusation,0.073
accusative,0.198
accuse,0.133
accused,0.13
accuser,0.122
accusing,0.156
accustomed,0.542
ace,0.643
acetic,0.33299999999999996
acetylene,0.306
ache,0.146
achieve,0.816
achieved,0.8959999999999999
achievement,0.8959999999999999
aching,0.053
achy,0.16699999999999998
acid,0.265
acidity,0.156
acknowledge,0.7859999999999999
acknowledged,0.7140000000000001
acknowledgement,0.8190000000000001
acknowledgment,0.7959999999999999
acme,0.408
acne,0.16699999999999998
acorn,0.44799999999999995
acoustic,0.542
acoustics,0.611
acquaint,0.6459999999999999
acquaintance,0.6559999999999999
acquainted,0.9059999999999999
acquiescence,0.542
acquire,0.833
acquiring,0.735
acquisition,0.698
acquisitions,0.773
acquit,0.583
acquittal,0.76
acre,0.583
acreage,0.741
acres,0.51
acrobat,0.708
acrylic,0.5820000000000001
act,0.6559999999999999
acting,0.698
action,0.76
action figure,0.615
actionable,0.6729999999999999
activate,0.764
activation,0.7809999999999999
active,0.847
activist,0.531
activity,0.701
actor,0.653
actress,0.633
actual,0.7290000000000001
actuality,0.75
actuary,0.51
acuity,0.469
acumen,0.564
acupuncture,0.531
acute,0.42700000000000005
acutely,0.41700000000000004
ad,0.521
adage,0.517
adamant,0.344
adapt,0.74
adaptable,0.735
adaptation,0.6629999999999999
add,0.728
added,0.562
addendum,0.392
adder,0.38799999999999996
addict,0.075
addicted,0.156
addiction,0.18
addictive,0.302
addition,0.562
additional,0.6729999999999999
additive,0.561
address,0.65
addressee,0.622
addresses,0.51
adept,0.594
adequacy,0.615
adequate,0.8540000000000001
adhere,0.633
adherence,0.76
adherent,0.561
adhering,0.612
adhesion,0.521
adhesive,0.604
adieu,0.25
adipose,0.33299999999999996
adjacency,0.365
adjacent,0.645
adjective,0.57
adjoining,0.52
adjourn,0.385
adjournment,0.43799999999999994
adjudicate,0.5589999999999999
adjudication,0.551
adjunct,0.45899999999999996
adjust,0.647
adjuster,0.51
adjustment,0.59
adjuvant,0.51
admin,0.688
administer,0.635
administration,0.625
administrative,0.542
administrator,0.5379999999999999
admirable,0.929
admiral,0.8440000000000001
admiralty,0.594
admiration,0.9690000000000001
admire,0.867
admired,0.917
admirer,0.7959999999999999
admiring,0.867
admissibility,0.802
admissible,0.78
admission,0.802
admit,0.5379999999999999
admittance,0.69
admitted,0.72
admitting,0.62
admixture,0.45
admonition,0.35700000000000004
ado,0.52
adobe,0.5
adolescence,0.48700000000000004
adolescent,0.7809999999999999
adopt,0.6940000000000001
adoption,0.625
adoptive,0.531
adorable,0.9690000000000001
adoration,0.885
adore,0.8540000000000001
adoring,0.885
adorn,0.91
adornment,0.9179999999999999
adrenalin,0.865
adrenaline,0.765
adrift,0.39799999999999996
adult,0.815
adulterated,0.188
adulterer,0.22899999999999998
adultery,0.12
adulthood,0.541
advance,0.6729999999999999
advanced,0.8440000000000001
advancement,0.7759999999999999
advancing,0.929
advantage,0.917
advantageous,0.8370000000000001
advent,0.665
adventure,0.917
adventurer,0.7809999999999999
adventures,0.812
adventurous,0.9690000000000001
adversary,0.349
adverse,0.32299999999999995
adversity,0.276
advertise,0.5
advertisement,0.6
advertising,0.622
adverts,0.551
advice,0.698
advisable,0.867
advise,0.76
advised,0.823
advisement,0.698
adviser,0.745
advisor,0.6459999999999999
advisory,0.6559999999999999
advocacy,0.5
advocate,0.551
aegis,0.49
aeration,0.55
aerial,0.615
aerobics,0.708
aerodrome,0.541
aerodynamic,0.561
aerodynamics,0.59
aeronautics,0.551
aeroplane,0.7140000000000001
aerospace,0.643
aesthetic,0.708
aesthetics,0.847
aetiology,0.48
afar,0.396
affable,0.7040000000000001
affair,0.52
affect,0.45799999999999996
affecting,0.35
affection,0.898
affectionate,0.9490000000000001
affections,0.76
affiche,0.479
affidavit,0.469
affiliated,0.6729999999999999
affiliation,0.615
affinity,0.8
affirm,0.745
affirmation,0.75
affirmative,0.8540000000000001
affirmatively,0.9079999999999999
affix,0.43799999999999994
afflict,0.302
afflicted,0.271
affliction,0.294
affluence,0.6629999999999999
affluent,0.7559999999999999
afford,0.5710000000000001
affordable,0.84
affront,0.327
affronted,0.385
afield,0.594
afire,0.36700000000000005
afloat,0.602
afore,0.5
aforementioned,0.49
aforesaid,0.531
afraid,0.01
afresh,0.643
aft,0.48
afterlife,0.5710000000000001
aftermath,0.312
afternoon,0.5329999999999999
aftershave,0.406
aftertaste,0.354
afterthought,0.396
aga,0.542
agape,0.612
agate,0.54
age,0.561
aged,0.135
agency,0.46
agenda,0.531
agent,0.48
agglomeration,0.45
aggravate,0.22399999999999998
aggravated,0.079
aggravates,0.10800000000000001
aggravating,0.257
aggravation,0.071
aggregate,0.73
aggregation,0.583
aggresive,0.059000000000000004
aggression,0.094
aggressive,0.125
aggressively,0.25
aggressiveness,0.077
aggressor,0.146
agh,0.26
aghast,0.133
aghhh,0.281
agile,0.8
agility,0.72
aging,0.214
agitate,0.3
agitated,0.444
agitation,0.24
aglow,0.78
agnostic,0.306
ago,0.317
agonizing,0.083
agony,0.083
agoraphobia,0.127
agree,0.9059999999999999
agreeable,0.9059999999999999
agreed,0.797
agreeing,0.8540000000000001
agreement,0.76
agressive,0.083
agricultural,0.6859999999999999
agriculture,0.64
aground,0.33299999999999996
agua,0.598
ahead,0.708
ahhh,0.562
ahhhhhhhh,0.552
ahoy,0.5
aid,0.7959999999999999
aide,0.7240000000000001
aiding,0.643
aids,0.561
ail,0.375
ailing,0.094
ailment,0.146
aim,0.48100000000000004
aimless,0.15
air,0.708
airbag,0.51
airborne,0.542
aircraft,0.6459999999999999
aircraft carrier,0.49
airfield,0.601
airhead,0.271
airlift,0.573
airline,0.65
airliner,0.667
airlock,0.39799999999999996
airman,0.5870000000000001
airplane,0.7190000000000001
airport,0.7290000000000001
airs,0.583
airship,0.542
airspace,0.562
airspeed,0.583
airstrip,0.55
airtight,0.479
airway,0.638
aisle,0.43799999999999994
ait,0.385
ajar,0.46
aka,0.45899999999999996
akin,0.639
alabaster,0.542
alarm,0.24100000000000002
alarm clock,0.542
alarmed,0.188
alarming,0.204
alas,0.5710000000000001
alb,0.521
albatross,0.5
albino,0.5
album,0.635
alchemy,0.541
alcohol,0.32299999999999995
alcoholic,0.153
alcoholism,0.061
alcove,0.49
alderman,0.55
ale,0.53
